"Experiment","Test_Accuracy","Macro_Precision","Macro_Recall","Macro_F1","Batch_Size","Learning_Rate","Dropout_Rate","Dense_Units_1","Dense_Units_2"
"exp20_combo","0.20430107526881722","0.08950349433486729","0.12935269617030598","0.09683176626087547","64","0.002","0.4","256","64"
"exp19_combo","0.19550342130987292","0.1802189529309755","0.13276236929338936","0.12318144277226295","16","0.002","0.2","512","128"
"exp18_combo","0.2072336265884653","0.14585048248687107","0.13864557213174408","0.11417555682684984","64","0.0005","0.4","512","256"
"exp17_combo","0.2101661779081134","0.2065575586790493","0.14470052754079674","0.12232396707794546","64","0.0005","0.2","256","128"
"exp16_dense512_256","0.20332355816226785","0.1770095195702189","0.15117099179682045","0.1359323100234753","32","0.001","0.3","512","256"
"exp15_dense512_128","0.21407624633431085","0.1737964255950067","0.14547929984036903","0.12738196352197192","32","0.001","0.3","512","128"
"exp14_dense256_64","0.21065493646138808","0.1689818821184358","0.14201593816002775","0.11958415405337434","32","0.001","0.3","256","64"
"exp13_dense128_64","0.19794721407624633","0.1267319226158453","0.12601657648013062","0.10420064260301587","32","0.001","0.3","128","64"
"exp12_drop05","0.20430107526881722","0.10420576368295845","0.12977864935105235","0.09982786530723009","32","0.001","0.5","256","128"
"exp11_drop04","0.20772238514174","0.17550368418492573","0.1357353888788121","0.11420197657468058","32","0.001","0.4","256","128"
"exp10_drop02","0.21700879765395895","0.18695971174823436","0.14972350118120353","0.1376013532819874","32","0.001","0.2","256","128"
"exp09_drop01","0.19110459433040078","0.17574303125136334","0.1392716248556454","0.1333223268051777","32","0.001","0.1","256","128"
"exp08_batch128","0.20772238514174","0.16542061104968772","0.1484719857617244","0.1188994538009216","128","0.001","0.3","256","128"
"exp07_batch64","0.2047898338220919","0.17818658074566715","0.14670796085232649","0.12795996638193755","64","0.001","0.3","256","128"
"exp06_batch16","0.20430107526881722","0.1812030158487822","0.1431785641786267","0.11950751135258987","16","0.001","0.3","256","128"
"exp05_lr005","0.18377321603128055","0.11737157230932958","0.09908588945570174","0.08055901391074292","32","0.005","0.3","256","128"
"exp04_lr002","0.20332355816226785","0.1518543074527893","0.12771635975436782","0.11289833484866114","32","0.002","0.3","256","128"
"exp03_lr001","0.20283479960899314","0.14228564316698855","0.14292864110961506","0.128326013186123","32","0.001","0.3","256","128"
"exp02_lr0005","0.21212121212121213","0.19676721098820096","0.14538838751160812","0.12392391881345001","32","0.0005","0.3","256","128"
"exp01_lr0001","0.1930596285434995","0.06988652105014735","0.11439414008381632","0.07913010889652794","32","0.0001","0.3","256","128"
